ensembl_gene_id	hgnc_symbol	entrezgene_id
1	ENSG00000117560	FASLG	356
2	ENSG00000199135	MIR101-1	406893
3	ENSG00000283844	MIR214	406996
5	ENSG00000026103	FAS	355
7	ENSG00000151151	IPMK	253430
10	ENSG00000108179	PPIF	10105
13	ENSG00000023445	BIRC3	330
16	ENSG00000152558	TMEM123	114908
17	ENSG00000168040	FADD	8772
20	ENSG00000110330	BIRC2	329
24	ENSG00000010379	SLC6A13	6540
25	ENSG00000060138	YBX3	8531
26	ENSG00000247077	PGAM5	192111
28	ENSG00000087470	DNM1L	10059
31	ENSG00000100605	ITPK1	3705
33	ENSG00000080824	HSP90AA1	3320
34	ENSG00000208027	MIR485	574436
35	ENSG00000129465	RIPK3	11035
40	ENSG00000092439	TRPM7	54822
41	ENSG00000103266	STUB1	10273
42	ENSG00000168404	MLKL	197259
46	ENSG00000087250	MT3	4504
48	ENSG00000083799	CYLD	1540
51	ENSG00000176046	NUPR1	26471
52	ENSG00000283824	MIR22	407004
54	ENSG00000132589	FLOT2	2319
55	ENSG00000105401	CDC37	11140
57	ENSG00000127666	TICAM1	148022
60	ENSG00000125652	ALKBH7	84266
63	ENSG00000197329	PELI1	57162
66	ENSG00000064012	CASP8	841
69	ENSG00000003402	CFLAR	8837
70	ENSG00000158480	SPATA2	9825
73	ENSG00000124256	ZBP1	81030
76	ENSG00000283904	MIR155	406947
79	ENSG00000170248	PDCD6IP	10015
80	ENSG00000131389	SLC6A6	6533
81	ENSG00000151729	SLC25A4	291
82	ENSG00000164342	TLR3	7098
85	ENSG00000243414	TICAM2	353376
86	ENSG00000170458	CD14	929
87	ENSG00000051620	HEBP2	23593
88	ENSG00000232810	TNF	7124
90	ENSG00000137275	RIPK1	8737
94	ENSG00000137312	FLOT1	10211
96	ENSG00000105928	GSDME	1687
99	ENSG00000154589	LY96	23643
100	ENSG00000137575	SDCBP	6386
104	ENSG00000136869	TLR4	7099
105	ENSG00000199065	MIR101-2	406894
107	ENSG00000207870	MIR221	407006
110	ENSG00000147162	OGT	8473
