ensembl_gene_id	hgnc_symbol	entrezgene_id
1	ENSG00000074800	ENO1	2023
3	ENSG00000078900	TP73	7161
5	ENSG00000116288	PARK7	11315
8	ENSG00000175793	SFN	2810
9	ENSG00000142627	EPHA2	1969
10	ENSG00000028137	TNFRSF1B	7133
12	ENSG00000132906	CASP9	842
14	ENSG00000117862	TXNDC12	51060
15	ENSG00000163349	HIPK1	204851
17	ENSG00000143546	S100A8	6279
18	ENSG00000163220	S100A9	6280
20	ENSG00000143514	TP53BP2	7159
22	ENSG00000174307	PHLDA3	23612
24	ENSG00000158828	PINK1	65018
29	ENSG00000185499	MUC1	4582
31	ENSG00000004487	KDM1A	23028
32	ENSG00000178828	RNF186	54546
35	ENSG00000143384	MCL1	4170
38	ENSG00000143384	MCL1	574406
41	ENSG00000182866	LCK	3932
44	ENSG00000163565	IFI16	3428
46	ENSG00000126709	IFI6	2537
48	ENSG00000188976	NOC2L	26155
49	ENSG00000116560	SFPQ	6421
50	ENSG00000213190	MLLT11	10962
51	ENSG00000263528	IKBKE	9641
54	ENSG00000176171	BNIP3	664
55	ENSG00000182010	RTKN2	219790
56	ENSG00000107562	CXCL12	6387
58	ENSG00000134452	FBH1	84893
59	ENSG00000108094	CUL2	8453
62	ENSG00000108179	PPIF	10105
63	ENSG00000198964	SGMS1	259230
66	ENSG00000096717	SIRT1	23411
68	ENSG00000174672	BRSK2	9024
69	ENSG00000166266	CUL5	8065
70	ENSG00000048028	USP28	57646
71	ENSG00000149273	RPS3	6188
77	ENSG00000162298	SYVN1	84447
79	ENSG00000133317	LGALS12	85329
81	ENSG00000002330	BAD	572
85	ENSG00000213619	NDUFS3	4722
86	ENSG00000110536	PTPMT1	114971
87	ENSG00000026508	CD44	960
88	ENSG00000110108	TMEM109	79073
91	ENSG00000165490	DDIAS	220042
92	ENSG00000132275	RRP8	23378
93	ENSG00000196954	CASP4	837
95	ENSG00000149428	HYOU1	10525
98	ENSG00000149311	ATM	472
100	ENSG00000060138	YBX3	8531
101	ENSG00000139173	TMEM117	84216
103	ENSG00000139644	TMBIM6	7009
105	ENSG00000127334	DYRK2	8445
106	ENSG00000170855	TRIAP1	51499
108	ENSG00000161642	ZNF385A	25946
110	ENSG00000184047	DIABLO	56616
112	ENSG00000188906	LRRK2	120892
113	ENSG00000087470	DNM1L	10059
114	ENSG00000120868	APAF1	317
116	ENSG00000175197	DDIT3	1649
122	ENSG00000135679	MDM2	4193
126	ENSG00000139842	CUL4A	8451
128	ENSG00000208006	MIR16-1	406950
129	ENSG00000283785	MIR15A	406948
130	ENSG00000133112	TPT1	7178
131	ENSG00000102572	STK24	8428
135	ENSG00000088808	PPP1R13B	23368
137	ENSG00000213145	CRIP1	1396
139	ENSG00000100744	GSKIP	51527
140	ENSG00000078304	PPP2R5C	5527
142	ENSG00000165943	MOAP1	64112
143	ENSG00000100603	SNW1	22938
147	ENSG00000184990	SIVA1	10572
149	ENSG00000136305	CIDEB	27141
152	ENSG00000129473	BCL2L2	599
153	ENSG00000258643	BCL2L2-PABPN1	100529063
155	ENSG00000166170	BAG5	9529
158	ENSG00000100644	HIF1A	3091
159	ENSG00000104081	BMF	90427
160	ENSG00000128965	CHAC1	79094
161	ENSG00000140464	PML	5371
166	ENSG00000185088	RPS27L	51065
167	ENSG00000181026	AEN	64782
170	ENSG00000035664	DAPK2	23604
171	ENSG00000140379	BCL2A1	597
172	ENSG00000131871	SELENOS	55829
173	ENSG00000137875	BCL2L10	10017
174	ENSG00000089486	CDIP1	29965
175	ENSG00000196470	SIAH1	6477
178	ENSG00000103490	PYCARD	29108
180	ENSG00000196296	ATP2A1	487
181	ENSG00000083799	CYLD	1540
183	ENSG00000051108	HERPUD1	9709
188	ENSG00000140939	NOL3	8996
191	ENSG00000176046	NUPR1	26471
194	ENSG00000134398	ERN2	10595
196	ENSG00000074370	ATP2A3	489
197	ENSG00000108561	C1QBP	708
198	ENSG00000170315	UBB	7314
199	ENSG00000126581	BECN1	8678
202	ENSG00000012048	BRCA1	672
203	ENSG00000109062	SLC9A3R1	9368
204	ENSG00000284190	MIR21	406991
205	ENSG00000141510	TP53	7157
211	ENSG00000161970	RPL26	6154
212	ENSG00000166484	MAPK7	5598
215	ENSG00000177374	HIC1	3090
216	ENSG00000108654	DDX5	1655
217	ENSG00000132382	MYBBP1A	10514
219	ENSG00000178607	ERN1	2081
220	ENSG00000185624	P4HB	5034
221	ENSG00000005882	PDK2	5164
222	ENSG00000108387	SEPTIN4	5414
224	ENSG00000141682	PMAIP1	5366
228	ENSG00000171791	BCL2	596
231	ENSG00000118046	STK11	6794
233	ENSG00000186010	NDUFA13	51079
234	ENSG00000064545	TMEM161A	54929
235	ENSG00000105176	URI1	8725
236	ENSG00000011422	PLAUR	5329
237	ENSG00000069399	BCL3	602
240	ENSG00000105327	BBC3	27113
245	ENSG00000087074	PPP1R15A	23645
246	ENSG00000087088	BAX	581
251	ENSG00000129355	CDKN2D	1032
254	ENSG00000171863	RPS7	6201
257	ENSG00000095002	MSH2	4436
260	ENSG00000144331	ZNF385B	151126
261	ENSG00000036257	CUL3	8452
263	ENSG00000176720	BOK	666
266	ENSG00000144476	ACKR3	57007
267	ENSG00000136536	MARCHF7	64844
268	ENSG00000115694	STK25	10494
269	ENSG00000116062	MSH6	2956
272	ENSG00000152256	PDK1	5163
274	ENSG00000115317	HTRA2	27429
276	ENSG00000116044	NFE2L2	4780
278	ENSG00000153094	BCL2L11	10018
283	ENSG00000077232	DNAJC10	54431
286	ENSG00000172071	EIF2AK3	9451
287	ENSG00000172216	CEBPB	1051
289	ENSG00000124216	SNAI1	6615
293	ENSG00000197122	SRC	6714
295	ENSG00000171552	BCL2L1	598
300	ENSG00000100985	MMP9	4318
301	ENSG00000101412	E2F1	1869
303	ENSG00000101255	TRIB3	57761
305	ENSG00000142168	SOD1	6647
