ensembl_gene_id	hgnc_symbol	entrezgene_id
2	ENSG00000186891	TNFRSF18	8784
3	ENSG00000067606	PRKCZ	5590
5	ENSG00000074800	ENO1	2023
9	ENSG00000171608	PIK3CD	5293
12	ENSG00000130762	ARHGEF16	27237
20	ENSG00000078900	TP73	7161
22	ENSG00000116288	PARK7	11315
31	ENSG00000175793	SFN	2810
33	ENSG00000117676	RPS6KA1	6195
36	ENSG00000158161	EYA3	2140
38	ENSG00000142627	EPHA2	1969
39	ENSG00000142632	ARHGEF19	128272
43	ENSG00000028137	TNFRSF1B	7133
45	ENSG00000130939	UBE4B	10277
47	ENSG00000009709	PAX7	5081
51	ENSG00000132906	CASP9	842
55	ENSG00000183520	UTP11	51118
57	ENSG00000049249	TNFRSF9	3604
58	ENSG00000117862	TXNDC12	51060
61	ENSG00000169174	PCSK9	255738
62	ENSG00000162600	OMA1	115209
66	ENSG00000116717	GADD45A	1647
71	ENSG00000116133	DHCR24	1718
77	ENSG00000162604	TM2D1	83941
78	ENSG00000168710	AHCYL1	10768
79	ENSG00000134215	VAV3	10451
81	ENSG00000134258	VTCN1	79679
82	ENSG00000163349	HIPK1	204851
85	ENSG00000134243	SORT1	6272
87	ENSG00000134250	NOTCH2	4853
92	ENSG00000117362	APH1A	51107
96	ENSG00000143546	S100A8	6279
98	ENSG00000163220	S100A9	6280
99	ENSG00000116824	CD2	914
101	ENSG00000117281	CD160	11126
102	ENSG00000162736	NCSTN	23385
105	ENSG00000117560	FASLG	356
110	ENSG00000143401	ANP32E	81611
113	ENSG00000163485	ADORA1	134
124	ENSG00000143514	TP53BP2	7159
127	ENSG00000092969	TGFB2	7042
129	ENSG00000163545	NUAK2	81788
131	ENSG00000162772	ATF3	467
133	ENSG00000133059	DSTYK	25778
135	ENSG00000123689	G0S2	50486
137	ENSG00000198626	RYR2	6262
139	ENSG00000118193	KIF14	9928
144	ENSG00000174307	PHLDA3	23612
146	ENSG00000076321	KLHL20	27252
148	ENSG00000143575	HAX1	10456
153	ENSG00000284357	MIR34A	407040
154	ENSG00000284202	MIR137	406928
155	ENSG00000198974	MIR30E	407034
