ensembl_gene_id	hgnc_symbol	entrezgene_id
5	ENSG00000143384	MCL1	4170
6	ENSG00000116157	GPX7	2882
9	ENSG00000158828	PINK1	65018
15	ENSG00000159363	ATP13A2	23400
18	ENSG00000143811	PYCR2	29920
21	ENSG00000117450	PRDX1	5052
26	ENSG00000116288	PARK7	11315
30	ENSG00000085491	SLC25A24	29957
33	ENSG00000116560	SFPQ	6421
36	ENSG00000117592	PRDX6	9588
37	ENSG00000116701	NCF2	4688
39	ENSG00000116863	ADPRS	54936
40	ENSG00000177606	JUN	3725
41	ENSG00000143437	ARNT	405
43	ENSG00000130766	SESN2	83667
46	ENSG00000143799	PARP1	142
47	ENSG00000096717	SIRT1	23411
49	ENSG00000196139	AKR1C3	8644
52	ENSG00000107643	MAPK8	5599
54	ENSG00000173848	NET1	10276
55	ENSG00000107679	PLEKHA1	59338
56	ENSG00000165887	ANKRD2	26287
59	ENSG00000108179	PPIF	10105
64	ENSG00000165672	PRDX3	10935
71	ENSG00000213341	CHUK	1147
73	ENSG00000121691	CAT	847
74	ENSG00000126432	PRDX5	25824
78	ENSG00000149273	RPS3	6188
79	ENSG00000173039	RELA	5970
80	ENSG00000173992	CCS	9973
84	ENSG00000086991	NOX4	50507
85	ENSG00000084207	GSTP1	2950
88	ENSG00000006534	ALDH3B1	221
89	ENSG00000110244	APOA4	337
90	ENSG00000135362	PRR5L	79899
91	ENSG00000142082	SIRT3	23410
92	ENSG00000149968	MMP3	4314
97	ENSG00000008394	MGST1	4257
98	ENSG00000110931	CAMKK2	10645
100	ENSG00000089159	PXN	5829
102	ENSG00000111450	STX2	2054
103	ENSG00000188906	LRRK2	120892
104	ENSG00000198431	TXNRD1	7296
107	ENSG00000121350	PYROXD1	79912
110	ENSG00000123374	CDK2	1017
111	ENSG00000184047	DIABLO	56616
113	ENSG00000002016	RAD52	5893
121	ENSG00000102572	STK24	8428
122	ENSG00000170345	FOS	2353
124	ENSG00000184304	PRKD1	5587
127	ENSG00000131979	GCH1	2643
128	ENSG00000142208	AKT1	207
132	ENSG00000100644	HIF1A	3091
134	ENSG00000176153	GPX2	2877
138	ENSG00000100867	DHRS2	10202
139	ENSG00000197930	ERO1A	30001
140	ENSG00000166170	BAG5	9529
143	ENSG00000100744	GSKIP	51527
145	ENSG00000131871	SELENOS	55829
147	ENSG00000073417	PDE8A	5151
148	ENSG00000140416	TPM1	7168
