ensembl_gene_id	hgnc_symbol	entrezgene_id
1	ENSG00000184677	ZBTB40	9923
2	ENSG00000078900	TP73	7161
4	ENSG00000116288	PARK7	11315
7	ENSG00000116663	FBXO6	26270
8	ENSG00000175793	SFN	2810
10	ENSG00000130766	SESN2	83667
13	ENSG00000158161	EYA3	2140
16	ENSG00000142627	EPHA2	1969
17	ENSG00000028137	TNFRSF1B	7133
20	ENSG00000162585	FAAP20	199990
24	ENSG00000132906	CASP9	842
29	ENSG00000092853	CLSPN	63967
33	ENSG00000162607	USP1	7398
36	ENSG00000085999	RAD54L	8438
38	ENSG00000084072	PPIE	10450
40	ENSG00000116717	GADD45A	1647
42	ENSG00000066135	KDM4A	9682
44	ENSG00000134215	VAV3	10451
46	ENSG00000116670	MAD2L2	10459
49	ENSG00000163349	HIPK1	204851
52	ENSG00000198765	SYCP1	6847
54	ENSG00000118655	DCLRE1B	64858
57	ENSG00000131778	CHD1L	9557
61	ENSG00000143624	INTS3	65123
62	ENSG00000163564	PYHIN1	149628
63	ENSG00000143155	TIPRL	261726
65	ENSG00000077152	UBE2T	29089
69	ENSG00000143493	INTS7	25896
70	ENSG00000143499	SMYD2	56950
71	ENSG00000116132	PRRX1	5396
72	ENSG00000143476	DTL	51514
76	ENSG00000159388	BTG2	7832
78	ENSG00000135829	DHX9	1660
80	ENSG00000010072	SPRTN	83932
84	ENSG00000117222	RBBP5	5929
86	ENSG00000174307	PHLDA3	23612
89	ENSG00000069275	NUCKS1	64710
91	ENSG00000097046	CDC7	8317
93	ENSG00000163874	ZC3H12A	80149
94	ENSG00000284357	MIR34A	407040
95	ENSG00000185499	MUC1	4582
98	ENSG00000175279	CENPS	378708
103	ENSG00000160803	UBQLN4	56893
104	ENSG00000004487	KDM1A	23028
107	ENSG00000127423	AUNIP	79000
108	ENSG00000173846	PLK3	1263
114	ENSG00000117748	RPA2	6118
119	ENSG00000162889	MAPKAPK2	9261
121	ENSG00000198890	PRMT6	55170
122	ENSG00000143384	MCL1	4170
125	ENSG00000143384	MCL1	574406
128	ENSG00000168148	H3-4	8290
129	ENSG00000181218	H2AW	92815
131	ENSG00000143799	PARP1	142
137	ENSG00000163565	IFI16	3428
138	ENSG00000187608	ISG15	9636
140	ENSG00000057468	MSH4	4438
141	ENSG00000270882	H4C14	8370
142	ENSG00000270276	H4C15	554313
144	ENSG00000155816	FMN2	56776
148	ENSG00000164002	EXO5	64789
150	ENSG00000198625	MDM4	4194
153	ENSG00000116560	SFPQ	6421
154	ENSG00000163563	MNDA	4332
156	ENSG00000132781	MUTYH	4595
160	ENSG00000174371	EXO1	9156
168	ENSG00000263528	IKBKE	9641
169	ENSG00000177414	UBE2U	148581
171	ENSG00000116863	ADPRS	54936
175	ENSG00000151657	KIN	22944
178	ENSG00000152457	DCLRE1C	64421
180	ENSG00000107643	MAPK8	5599
182	ENSG00000138303	ASCC1	51008
183	ENSG00000170312	CDK1	983
185	ENSG00000107447	DNTT	1791
187	ENSG00000166169	POLL	27343
192	ENSG00000138346	DNA2	1763
194	ENSG00000170430	MGMT	4255
201	ENSG00000155229	MMS19	64210
206	ENSG00000198924	DCLRE1A	9937
208	ENSG00000107562	CXCL12	6387
209	ENSG00000148677	ANKRD1	27063
210	ENSG00000138311	ZNF365	22891
214	ENSG00000134452	FBH1	84893
219	ENSG00000107672	NSMCE4A	54780
222	ENSG00000065328	MCM10	55388
226	ENSG00000119906	SLF2	55719
228	ENSG00000095787	WAC	51322
230	ENSG00000225830	ERCC6	2074
236	ENSG00000227345	PARG	8505
239	ENSG00000156384	SFR1	119392
242	ENSG00000122376	SHLD2	54537
245	ENSG00000096717	SIRT1	23411
248	ENSG00000166313	APBB1	322
251	ENSG00000130413	STK33	65975
253	ENSG00000110768	GTF2H1	2965
256	ENSG00000183161	FANCF	2188
259	ENSG00000146670	CDCA5	113130
261	ENSG00000129173	E2F8	79733
263	ENSG00000110107	PRPF19	27339
267	ENSG00000077514	POLD3	10714
270	ENSG00000110092	CCND1	595
272	ENSG00000186280	KDM4D	55693
274	ENSG00000137693	YAP1	10413
275	ENSG00000173120	KDM2A	22992
276	ENSG00000166439	RNF169	254225
280	ENSG00000198382	UVRAG	7405
283	ENSG00000110066	KMT5B	51111
285	ENSG00000048028	USP28	57646
289	ENSG00000149273	RPS3	6188
292	ENSG00000177700	POLR2L	5441
295	ENSG00000134574	DDB2	1643
299	ENSG00000170242	USP47	55031
300	ENSG00000149269	PAK1	5058
302	ENSG00000020922	MRE11	4361
306	ENSG00000133315	MACROD1	28992
308	ENSG00000149091	DGKZ	8525
311	ENSG00000168496	FEN1	2237
313	ENSG00000149115	TNKS1BP1	85456
316	ENSG00000132740	IGHMBP2	3508
317	ENSG00000137760	ALKBH8	91801
318	ENSG00000185507	IRF7	3665
319	ENSG00000168002	POLR2G	5436
321	ENSG00000175482	POLD4	57804
325	ENSG00000156587	UBE2L6	9246
326	ENSG00000026508	CD44	960
327	ENSG00000054965	FAM168A	23201
329	ENSG00000172977	KAT5	10524
333	ENSG00000172732	MUS81	80198
336	ENSG00000110108	TMEM109	79073
339	ENSG00000165490	DDIAS	220042
341	ENSG00000167986	DDB1	1642
345	ENSG00000162191	UBXN1	51035
347	ENSG00000167770	OTUB1	55611
351	ENSG00000188486	H2AX	3014
356	ENSG00000172273	HINFP	25988
359	ENSG00000172613	RAD9A	5883
365	ENSG00000149311	ATM	472
370	ENSG00000133895	MEN1	4221
372	ENSG00000166199	ALKBH3	221120
375	ENSG00000166801	FAM111A	63901
376	ENSG00000137692	DCUN1D5	84259
378	ENSG00000177595	PIDD1	55367
381	ENSG00000149554	CHEK1	1111
387	ENSG00000171792	RHNO1	83695
389	ENSG00000197837	H4-16	121504
391	ENSG00000013573	DDX11	1663
392	ENSG00000189079	ARID2	196528
393	ENSG00000166896	ATP23	91419
395	ENSG00000111602	TIMELESS	8914
400	ENSG00000177889	UBE2N	7334
406	ENSG00000165891	E2F7	144455
408	ENSG00000169372	CRADD	8738
412	ENSG00000111445	RFC5	5985
415	ENSG00000189046	ALKBH2	121642
419	ENSG00000135090	TAOK3	51347
421	ENSG00000183955	KMT5A	387893
423	ENSG00000127334	DYRK2	8445
426	ENSG00000111206	FOXM1	2305
428	ENSG00000002016	RAD52	5893
432	ENSG00000170855	TRIAP1	51499
435	ENSG00000125084	WNT1	7471
436	ENSG00000111652	COPS7A	50813
437	ENSG00000078237	TIGAR	57103
440	ENSG00000111653	ING4	51147
442	ENSG00000111358	GTF2H3	2967
448	ENSG00000161642	ZNF385A	25946
