ensembl_gene_id	hgnc_symbol	entrezgene_id
1	ENSG00000116288	PARK7	11315
3	ENSG00000158161	EYA3	2140
4	ENSG00000028137	TNFRSF1B	7133
6	ENSG00000132906	CASP9	842
9	ENSG00000163349	HIPK1	204851
10	ENSG00000134243	SORT1	6272
11	ENSG00000117560	FASLG	356
15	ENSG00000092969	TGFB2	7042
16	ENSG00000162772	ATF3	467
18	ENSG00000123689	G0S2	50486
22	ENSG00000162734	PEA15	8682
24	ENSG00000142867	BCL10	8915
28	ENSG00000143384	MCL1	4170
31	ENSG00000143384	MCL1	574406
34	ENSG00000158796	DEDD	9191
37	ENSG00000160712	IL6R	3570
38	ENSG00000126709	IFI6	2537
40	ENSG00000134259	NGF	4803
41	ENSG00000135744	AGT	183
42	ENSG00000213190	MLLT11	10962
45	ENSG00000107731	UNC5B	219699
46	ENSG00000026103	FAS	355
49	ENSG00000196072	BLOC1S2	282991
53	ENSG00000151929	BAG3	9531
55	ENSG00000015171	ZMYND11	10771
56	ENSG00000171862	PTEN	5728
57	ENSG00000197142	ACSL5	51703
59	ENSG00000165731	RET	5979
62	ENSG00000110514	MADD	8567
64	ENSG00000173039	RELA	5970
67	ENSG00000137713	PPP2R1B	5519
68	ENSG00000168040	FADD	8772
74	ENSG00000002330	BAD	572
77	ENSG00000174516	PELI3	246330
78	ENSG00000066336	SPI1	6688
80	ENSG00000084207	GSTP1	2950
82	ENSG00000121380	BCL2L14	79370
85	ENSG00000135472	FAIM2	23017
88	ENSG00000169372	CRADD	8738
89	ENSG00000170633	RNF34	80196
91	ENSG00000111537	IFNG	3458
93	ENSG00000017427	IGF1	3479
95	ENSG00000067182	TNFRSF1A	7132
96	ENSG00000135503	ACVR1B	91
97	ENSG00000111321	LTBR	4055
98	ENSG00000184047	DIABLO	56616
99	ENSG00000139193	CD27	939
100	ENSG00000181852	RNF41	10193
101	ENSG00000213782	DDX47	51202
102	ENSG00000065361	ERBB3	2065
107	ENSG00000165949	IFI27	3429
108	ENSG00000165943	MOAP1	64112
109	ENSG00000184990	SIVA1	10572
112	ENSG00000129473	BCL2L2	599
114	ENSG00000258643	BCL2L2-PABPN1	100529063
116	ENSG00000131981	LGALS3	3958
119	ENSG00000142208	AKT1	207
120	ENSG00000137801	THBS1	7057
122	ENSG00000169018	FEM1B	10116
123	ENSG00000140464	PML	5371
128	ENSG00000140379	BCL2A1	597
129	ENSG00000166949	SMAD3	4088
130	ENSG00000137875	BCL2L10	10017
131	ENSG00000185043	CIB1	10519
133	ENSG00000103496	STX4	6810
134	ENSG00000103490	PYCARD	29108
135	ENSG00000006327	TNFRSF12A	51330
137	ENSG00000140992	PDPK1	5170
138	ENSG00000083799	CYLD	1540
140	ENSG00000102871	TRADD	8717
144	ENSG00000140939	NOL3	8996
147	ENSG00000131467	PSME3	10197
148	ENSG00000012048	BRCA1	672
149	ENSG00000239697	TNFSF12	8742
152	ENSG00000166484	MAPK7	5598
153	ENSG00000167895	TMC8	147138
154	ENSG00000092871	RFFL	117584
156	ENSG00000170296	GABARAP	11337
157	ENSG00000187323	DCC	1630
158	ENSG00000141682	PMAIP1	5366
160	ENSG00000171791	BCL2	596
165	ENSG00000125726	CD70	970
166	ENSG00000087088	BAX	581
170	ENSG00000090339	ICAM1	3383
173	ENSG00000105723	GSK3A	2931
176	ENSG00000160570	DEDD2	162989
179	ENSG00000126453	BCL2L12	83596
180	ENSG00000125538	IL1B	3553
181	ENSG00000115760	BIRC6	57448
183	ENSG00000138448	ITGAV	3685
186	ENSG00000171951	SCG2	7857
188	ENSG00000176720	BOK	666
189	ENSG00000115008	IL1A	3552
191	ENSG00000067066	SP100	6672
192	ENSG00000135926	TMBIM1	64114
193	ENSG00000064012	CASP8	841
196	ENSG00000115317	HTRA2	27429
199	ENSG00000003402	CFLAR	8837
203	ENSG00000115170	ACVR1	90
204	ENSG00000091409	ITGA6	3655
207	ENSG00000064655	EYA2	2139
209	ENSG00000197122	SRC	6714
211	ENSG00000171552	BCL2L1	598
217	ENSG00000015475	BID	637
221	ENSG00000100234	TIMP3	7078
222	ENSG00000100292	HMOX1	3162
223	ENSG00000163812	ZDHHC3	51304
226	ENSG00000158234	FAIM	55179
227	ENSG00000157500	APPL1	26060
228	ENSG00000181788	SIAH2	6478
229	ENSG00000121858	TNFSF10	8743
233	ENSG00000168811	IL12A	3592
235	ENSG00000180370	PAK2	5062
237	ENSG00000082701	GSK3B	2932
240	ENSG00000233276	GPX1	2876
241	ENSG00000163737	PF4	5196
242	ENSG00000171557	FGG	2266
243	ENSG00000171560	FGA	2243
245	ENSG00000154447	SH3RF1	57630
248	ENSG00000164342	TLR3	7098
250	ENSG00000171564	FGB	2244
251	ENSG00000068078	FGFR3	2261
252	ENSG00000164305	CASP3	836
254	ENSG00000197386	HTT	3064
255	ENSG00000164362	TERT	7015
257	ENSG00000168621	GDNF	2668
258	ENSG00000164400	CSF2	1437
261	ENSG00000081791	DELE1	9812
263	ENSG00000113520	IL4	3565
265	ENSG00000030110	BAK1	578
266	ENSG00000146247	PHIP	55023
271	ENSG00000118503	TNFAIP3	7128
273	ENSG00000232810	TNF	7124
278	ENSG00000204389	HSPA1A	3303
279	ENSG00000204388	HSPA1B	3304
280	ENSG00000137275	RIPK1	8737
283	ENSG00000204209	DAXX	1616
284	ENSG00000204209	DAXX	113523636
285	ENSG00000112319	EYA4	2070
287	ENSG00000106366	SERPINE1	5054
291	ENSG00000105974	CAV1	857
292	ENSG00000122641	INHBA	3624
294	ENSG00000106144	CASP2	835
295	ENSG00000104689	TNFRSF10A	8797
302	ENSG00000120889	TNFRSF10B	8795
304	ENSG00000157168	NRG1	3084
307	ENSG00000104313	EYA1	2138
310	ENSG00000155792	DEPTOR	64798
313	ENSG00000104332	SFRP1	6422
315	ENSG00000173535	TNFRSF10C	8794
316	ENSG00000077782	FGFR1	2260
317	ENSG00000136848	DAB2IP	153090
318	ENSG00000106799	TGFBR1	7046
319	ENSG00000127191	TRAF2	7186
322	ENSG00000056558	TRAF1	7185
324	ENSG00000137033	IL33	90865
326	ENSG00000102145	GATA1	2623
328	ENSG00000207870	MIR221	407006
330	ENSG00000207725	MIR222	407007
332	ENSG00000169083	AR	367
333	ENSG00000215301	DDX3X	1654
334	ENSG00000180772	AGTR2	186
